שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,בית ספר אולינה דה רוטשילד,מנחם אוסישקין 38,,,על יסודי,,,31.7785375437962,35.212494656737256,"מנחם אוסישקין 38, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
,בית ספר אמונת ציון בנות,עדו הנביא 8,,,יסודי,,,31.784711831860808,35.22549422276815,"עדו הנביא 8, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
,בנות מוריה,פלוגת הכותל 10,,,יסודי,,,31.776117584924002,35.23158008966141,"פלוגת הכותל 10, ירושלים",,,"עיר העתיקה, מקלט בבית ספר"
,בנין אב,קהילות יעקב 17,,,על יסודי,,,31.813343600419508,35.21785153198962,"קהילות יעקב 17, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,"בית ספר מ""מ הניסויי",רבי עקיבא 7,,,יסודי,,,31.779646679711643,35.218214205469984,"רבי עקיבא 7, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
,"בי""ס נחמת ציון",עדו הנביא 10,,,יסודי,,,31.784720851159044,35.22607673384996,"עדו הנביא 10, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
,"בי""ס ממ""ד ברנדט אורות",שד נוה יעקב 38,,,יסודי,,,31.838389269743374,35.240274180131465,"שד נוה יעקב 38, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס הצנע לכת","הרב ש""י זווין 4",,,יסודי,,,31.841930730534838,35.24977998863361,"הרב ש""י זווין 4, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,בית ספר לחם הביכורים,הרב שלמה יוסף אליאך 6,,,יסודי,,,31.841379159713117,35.250270620810305,"הרב שלמה יוסף אליאך 6, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס נוה יעקב בלבן [נוה גרשון]",מאיר בלבן 6,,,יסודי,,,31.8443236959202,35.241973276173844,"מאיר בלבן 6, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס נוה יעקב פרדס [נוה בת שבע]",מעגלות הרב פרדס 39,,,יסודי,,,31.838857479257445," 35.245553376174115","מעגלות הרב פרדס 39, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס עטרת אסתר","הרב ש""י זווין 21",,,יסודי,,,"31.84300054133436 ",35.24739883384697,"הרב ש""י זווין 21, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס קהילת קמניץ",הרב משה כהן שאולי 16,,,יסודי,,,31.842867306699404,35.24609347575238,"הרב משה כהן שאולי 16, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס תורת העמק","הרב ש""י זווין 40",,,יסודי,,,31.84087227,35.24929808,"הרב ש""י זווין 40, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"בי""ס תורת יוסף (שערי ציון)",שד נוה יעקב 36,,,יסודי,,,31.83837292,35.23903097,"שד נוה יעקב 36, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,"גור [עי""ס בנות]",ירמיהו 22,,,על יסודי,,,31.79275487484358,35.21213730315507,"ירמיהו 22, ירושלים",,,"רוממה, מקלט בבית ספר"
,"בי""ס ממ""ד דוגמא לבנים ע""ש הרב עוזיאל",הרב יוסף קאפח 20,,,יסודי,,,31.78012395352473,35.20966715875803,"הרב יוסף קאפח 20, ירושלים",,,"נחלאות - לב העיר, מקלט בבית ספר"
